threshold,accuracy,precision,recall,f1
0.35,0.7779487179487179,0.6044444444444445,0.8760064412238325,0.715318869165023
0.4,0.7876923076923077,0.6260657734470159,0.8276972624798712,0.7128987517337032
0.45,0.803076923076923,0.6569536423841059,0.7987117552334944,0.7209302325581395
0.5,0.8117948717948718,0.6862170087976539,0.7536231884057971,0.718342287029931
0.55,0.8220512820512821,0.7245901639344262,0.711755233494364,0.7181153533712429
