epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.7387820482254028,0.8127918839454651,9.999999747378752e-06,0.1372832953929901,0.5713145136833191,0.7200080752372742,0.7892307639122009,0.8730263710021973,0.11480113863945007,0.8034682273864746,0.4476650655269623
1,0.7758333086967468,0.8646235466003418,9.999999747378752e-06,0.11731917411088943,0.6170246601104736,0.7805958390235901,0.7697435617446899,0.8682008981704712,0.16367009282112122,0.8282442688941956,0.3494364023208618
2,0.7836538553237915,0.8735848069190979,9.999999747378752e-06,0.11404738575220108,0.6261282563209534,0.7958937287330627,0.6117948889732361,0.892569899559021,0.227554589509964,0.44992637634277344,0.9838969111442566
3,0.7862179279327393,0.8792198896408081,9.999999747378752e-06,0.11148898303508759,0.6278377771377563,0.8071658611297607,0.7682051062583923,0.8913226127624512,0.12050124257802963,0.5917481184005737,0.8776167631149292
4,0.7887179255485535,0.8846322298049927,4.999999873689376e-06,0.10916358232498169,0.6313226222991943,0.808977484703064,0.6779487133026123,0.8940021395683289,0.1397157907485962,0.49708089232444763,0.9597423672676086
5,0.7905769348144531,0.8883242011070251,4.999999873689376e-06,0.10698727518320084,0.6317175030708313,0.8210547566413879,0.8035897612571716,0.8957275748252869,0.1140824481844902,0.8695651888847351,0.4508856534957886
6,0.792435884475708,0.8884312510490417,4.999999873689376e-06,0.10688873380422592,0.6346932649612427,0.8204509019851685,0.827179491519928,0.8944686651229858,0.09766732901334763,0.8034188151359558,0.6054750680923462
7,0.7930769324302673,0.8897431492805481,4.999999873689376e-06,0.10645943135023117,0.6336405277252197,0.8303139805793762,0.7261538505554199,0.8824845552444458,0.2639137804508209,0.9677419066429138,0.14492753148078918
8,0.793012797832489,0.8893924355506897,4.999999873689376e-06,0.10613951086997986,0.6357109546661377,0.819847047328949,0.6630769371986389,0.8958505392074585,0.16852469742298126,0.48546043038368225,0.967793881893158
9,0.7944231033325195,0.8914212584495544,4.999999873689376e-06,0.1057327464222908,0.6362370252609253,0.8276972770690918,0.7235897183418274,0.9011479616165161,0.12221720814704895,0.5375458002090454,0.945249617099762
10,0.7967948913574219,0.8974325060844421,2.499999936844688e-06,0.1028202474117279,0.6391640901565552,0.831119179725647,0.7594871520996094,0.9025214314460754,0.11236458271741867,0.576458752155304,0.9227052927017212
11,0.7987179756164551,0.8965525031089783,2.499999936844688e-06,0.10313456505537033,0.6423676013946533,0.8301126956939697,0.8128204941749573,0.899493396282196,0.09936551749706268,0.6910447478294373,0.7455716729164124
12,0.8007051348686218,0.899489164352417,2.499999936844688e-06,0.10172820836305618,0.6456211805343628,0.8295088410377502,0.7953845858573914,0.9075219035148621,0.10025586187839508,0.6305882334709167,0.8631240129470825
13,0.8021153807640076,0.9022347331047058,1.249999968422344e-06,0.10019504278898239,0.6475294232368469,0.8309178948402405,0.7753846049308777,0.9058358669281006,0.11155278980731964,0.5974441170692444,0.9033816456794739
14,0.8022435903549194,0.9007302522659302,1.249999968422344e-06,0.10093652456998825,0.644734799861908,0.8442028760910034,0.8220512866973877,0.9087705016136169,0.09265400469303131,0.7057057023048401,0.7568438053131104
15,0.8042948842048645,0.9023830890655518,1.249999968422344e-06,0.1004294604063034,0.6491665244102478,0.8387681245803833,0.771794855594635,0.9050167202949524,0.11158288270235062,0.5934182405471802,0.9001610279083252
16,0.8014102578163147,0.9023424983024597,1.249999968422344e-06,0.10026820003986359,0.6460937261581421,0.8323268890380859,0.8317948579788208,0.909429132938385,0.09111615270376205,0.7321711778640747,0.7439613342285156
17,0.8028205037117004,0.9041181802749634,1.249999968422344e-06,0.09947144985198975,0.648322343826294,0.8323268890380859,0.8282051086425781,0.9001604318618774,0.09654299914836884,0.8264840245246887,0.5829307436943054
